id,page_slug,locale,section_key,content_type,content_value,updated_by,created_at,updated_at
022dee60-ed5d-41e5-abe7-336fa27947a1,marine-life-page,en,hero_text,text,"Discover the impressive biodiversity of Koh Tao’s underwater world, with over 350 fish species and remarkable marine animals.",seed-script,2026-03-28 14:15:08.526272+00,2026-03-28 14:15:08.526272+00
0243b066-5737-40fb-957b-188816e7def6,contact,nl,subject_option_1,text,Cursus informatie,contact@prodiving.asia,2026-03-12 13:34:35.256812+00,2026-03-14 18:57:12.645596+00
0296f192-c9a9-4faa-8062-2fdce7f615c2,home,en,course_divemaster_price,text,"฿41,000",contact@prodiving.asia,2026-03-12 10:01:50.741687+00,2026-03-16 18:01:39.262481+00
02ebb95c-6aeb-4761-95d8-ca06f827846f,advanced,en,section_2_content,text,Open Water Diver certification (or equivalent) and minimum age of 12.,seed-script,2026-03-28 14:22:36.581793+00,2026-03-28 14:24:15.888987+00
031eab71-5d9a-4abc-9afb-843b57ea4d03,home,nl,course_divemaster_price_eur,text,1090,contact@prodiving.asia,2026-03-12 10:57:14.010608+00,2026-03-14 18:50:05.442579+00
033aa712-7064-4158-a2fd-bf9b9f250499,koh-tao-info,en,highlights_list,text,"World-class dive sites and dive schools
Beautiful viewpoints and hiking routes
Relaxed nightlife and beach bars
Fresh seafood and Thai cuisine
Friendly local community",,2026-03-28 13:31:13.441375+00,2026-03-28 13:31:13.441375+00
033bd779-f638-4263-92e6-bff66ae06998,green-sea-turtle,en,photography_tips,text,"Approach slowly and avoid sudden movements
Shoot at water level for a stronger perspective
Include the turtle’s habitat in your composition
Use natural light and avoid flash
Be patient and let the turtle come to you
Respect their space and never chase them",seed-script,2026-03-28 14:15:08.09076+00,2026-03-28 14:15:08.09076+00
037202cd-04ea-4f10-a25a-bd9c303cec69,msdt-program,en,why_title,text,Why Become an MSDT?,,2026-03-28 13:22:02.219507+00,2026-03-28 13:22:02.219507+00
0374820d-1944-45c1-93bd-8dc0567ec282,instructor,en,sidebar_note,text,Contact us for a tailored Instructor pathway and exam dates.,,2026-03-28 13:19:45.973231+00,2026-03-28 13:19:45.973231+00
03af01be-80ce-4b82-b72f-95563f1a6e38,scuba-diver,nl,duration,text,2-3 dagen,seed-script,2026-03-12 14:55:52.765748+00,2026-03-28 14:24:15.888987+00
03f482f4-2c59-4248-9283-6a74691f4156,contact,nl,location_title,text,Locatie,contact@prodiving.asia,2026-03-12 10:14:37.06477+00,2026-03-14 18:57:12.645596+00
04557acd-02bb-4163-9e35-a34df4ffdb19,advanced,nl,price_thb,text,9500,seed-script,2026-03-28 14:22:36.581793+00,2026-03-28 14:24:15.888987+00
055525b2-75ea-45eb-95f9-aa3f60bb4f05,specialty/night-diver,en,hero_subtitle,text,Experience the underwater world after dark — a completely different perspective.,contact@prodiving.asia,2026-03-12 10:27:14.506533+00,2026-03-12 10:27:41.009635+00
05d10118-2264-47f4-b021-e912eaa74d60,chumphon-pinnacle,nl,quick_facts_location,text,30 minuten uit de kust,,2026-03-27 13:40:10.789117+00,2026-03-28 21:03:37.497664+00
05faf1d0-0fb7-4b09-9928-c7b9480ad993,chumphon-pinnacle,en,overview,text,"Chumphon Pinnacle is one of Koh Tao's most spectacular deep dive sites, located 30 minutes offshore. This granite pinnacle rises dramatically from the deep ocean floor, creating a natural cleaning station for large marine life. The site is particularly famous for its reliable whaleshark sightings, with these gentle giants often cruising the depths. Massive schools of trevally and chevron barracuda create mesmerizing displays, while eagle rays and other pelagics add to the excitement. The pinnacle's structure provides excellent swim-through opportunities and superb photographic subjects..test",,2026-03-27 13:40:10.789117+00,2026-04-09 11:24:36.795351+00
063a2aa4-b2df-414c-a261-7ecd4c4cc40c,discover-scuba,en,faq_2_answer,text,No. DSD is specifically designed for first-time divers and beginners.,seed-script,2026-03-28 14:22:37.204447+00,2026-03-28 16:44:59.316524+00
06647a81-36b5-4bbe-bbfa-8e13c2435e94,home,en,course_rescue_level,text,rescue,contact@prodiving.asia,2026-03-12 10:01:50.741687+00,2026-03-27 12:17:14.230573+00
074463b8-0ce9-4b91-941f-2cdb6078a096,contact,en,location_line_1,text,"Sairee Beach, Koh Tao",contact@prodiving.asia,2026-03-12 14:31:13.936296+00,2026-04-06 04:40:49.337206+00
07a78d66-b4af-41a8-afa1-8c407b81ff1b,home,en,course_advanced_price_usd,text,275,contact@prodiving.asia,2026-03-12 13:33:29.379002+00,2026-03-16 18:01:39.262481+00
07c7d16f-6ac1-476b-949a-8392ace1b52f,koh-tao-dive-sites,en,coral_title,text,Beautiful coral reef sites,seed-script,2026-03-28 14:03:22.715903+00,2026-03-28 14:03:22.715903+00
080034ae-6bed-4d26-bbab-145dfeaaed46,food-drink,en,taste_title,text,Must-try dishes,,2026-03-28 13:42:12.192138+00,2026-03-28 13:42:12.192138+00
0835cb2c-63bd-4f80-b52b-169fb7003bac,koh-tao-dive-sites,en,book_dive,text,Book your dive,seed-script,2026-03-28 14:03:22.715903+00,2026-03-28 14:03:22.715903+00
086f6c0d-8c98-4b1e-a000-b3c490851e33,japanese-gardens,en,quick_facts_location,text,Near Koh Nang Yuan,,2026-03-27 13:40:10.789117+00,2026-03-28 12:47:09.516174+00
08f45c60-84e4-4dc9-b499-e7f0dd9e0c69,marine-life-page,nl,sea_turtles,text,"Groene zeeschildpad|Plantenetende zeeschildpadden die grazen op zeegras en algen, vaak gezien in ondiepe baaien.|Tot 1,5m|Ondiepe baaien en riffen|Hele jaar|/marine-life/green-sea-turtle
Karetschildpad|Mooie schildpadden met een kenmerkende snavelvormige bek, bekend om het eten van sponsen.|Tot 1m|Koraalriffen|Hele jaar|/marine-life/hawksbill-sea-turtle",seed-script,2026-03-28 14:15:08.842017+00,2026-03-28 14:15:08.842017+00
09861b9b-e693-4b4d-a70a-63cdffead851,instructor,en,hero_subtitle,text,Train to become a PADI Instructor and teach divers worldwide. The Instructor Development Course (IDC) prepares candidates to lead courses and certify students.,,2026-03-28 13:19:45.973231+00,2026-03-28 13:19:45.973231+00
09c24450-93be-4c8e-9ffb-f721e9e285ea,south-west-pinnacle,en,quick_facts_location,text,30-40 minutes offshore,,2026-03-27 13:40:10.789117+00,2026-03-31 17:55:41.76794+00
09d4c8e7-5105-4364-8594-65e2131881b4,home,nl,about_map_alt,text,Map van Koh Tao en duik plekken,contact@prodiving.asia,2026-03-12 10:57:14.010608+00,2026-03-14 18:50:05.442579+00
0a3d99fc-cda6-415c-80ea-a0a6b6c530a9,contact,en,subject_option_2,text,Dive Trip Booking,contact@prodiving.asia,2026-03-12 14:31:13.936296+00,2026-04-06 04:40:49.337206+00
0a61f5b1-09d6-45b3-b51c-7a8c8aca35b6,chumphon-pinnacle,nl,images,text,"https://www.divinginasia.com/images/chumphon-pinnacle-top.webp
https://www.divinginasia.com/images/photo-1682686580849-3e7f67df4015.avif
https://www.divinginasia.com/images/photo-1613853250147-2f73e55c1561.avif
https://www.divinginasia.com/images/photo-1618865181016-a80ad83a06d3.avif
https://www.divinginasia.com/images/photo-1647825194145-2d94e259c745.avif
https://www.divinginasia.com/images/photo-1659518893171-b15e20a8e201.avif
https://www.divinginasia.com/images/photo-1682687982423-295485af248a.avif",,2026-03-27 17:57:19.248922+00,2026-03-28 12:47:09.516174+00
0a831527-f1b5-465a-a19f-52773961a780,japanese-gardens,en,diving_tips,text,"Best time is November-May for visibility.
Look for unique triggerfish and octopus.
Great for underwater photography.",,2026-03-27 13:40:10.789117+00,2026-03-28 12:47:09.516174+00
0ac5aa44-b2fb-400c-a5a6-9c8b02fef403,htms-sattakut,en,quick_facts_best_time,text,"Year-round, best during dry season",,2026-03-27 13:40:10.789117+00,2026-03-28 20:54:03.477122+00
0aded3f1-bcc0-4e08-a825-e6a8b11d4909,food-drink,nl,subtitle,text,"Ontdek heerlijke Thaise gerechten, verse seafood en strandbars bij zonsondergang.",,2026-03-28 13:42:12.192138+00,2026-03-28 13:42:12.192138+00
0ae4a1b5-3b03-4d3d-85f3-8863551fb98d,admin-finance,en,course_deposit_rate,text,5,,2026-03-28 18:33:20.274249+00,2026-04-11 03:41:00.84257+00
0b015e1b-fea1-4c7c-ab79-06dccb61482f,scuba-review,en,hero_subtitle,text,Haven't dived in a while? no problemRefresh your skills with a professional instructor.,contact@prodiving.asia,2026-03-14 19:44:35.703938+00,2026-03-27 16:34:52.782657+00
0b98bcd2-dc6e-4a25-bd10-3680c3ea4b91,contact,en,details_title,text,Contact Us,contact@prodiving.asia,2026-03-12 14:31:13.936296+00,2026-04-06 04:40:49.337206+00
0baac768-6adf-44d8-98d3-7ea22ba34f14,viewpoints-koh-tao,nl,subtitle,text,Adembenemende panorama's en onvergetelijke fotomomenten.,,2026-03-28 13:42:12.192138+00,2026-03-28 13:50:12.131579+00
0c0feab7-7ea2-40a5-a8fe-7c63c361ef03,scuba-diver,en,section_1_content,text,"Basic scuba diving theory and physics
Proper use of scuba equipment
Fundamental diving skills and safety procedures
Underwater communication and buddy system
Shallow water exploration and reef appreciation
Environmental awareness and marine conservation",seed-script,2026-03-28 14:22:36.581793+00,2026-03-28 14:24:15.888987+00
0c23f552-7ba2-4b97-8286-3c7bab3fef25,shark-island,nl,overview,text,"Shark Island ligt aan de zuidkust van Koh Tao en staat bekend om spectaculaire koraalformaties en hoge biodiversiteit. Je vindt hier prachtige paarse zachte boomkoralen en kleurrijke gorgonen, waaronder grote zeewaaiers en dynamische zweepkoralen die meebewegen met de stroming. Zwartpuntrifhaaien worden hier regelmatig gezien terwijl ze langs het rif trekken - daar dankt de site haar naam aan. Het onderwaterlandschap met met koraal bedekte rotsblokken en zandstroken creëert gevarieerde habitats. Door de kleur en het vaak goede zicht is dit een favoriete plek voor onderwaterfotografie.",,2026-03-27 13:40:10.789117+00,2026-03-28 12:47:09.516174+00
0cb8a816-042c-478a-bf00-232c78bbb53d,sail-rock,en,images,text,"https://www.divinginasia.com/images/sailrock.webp
https://www.divinginasia.com/images/photo-1613853250147-2f73e55c1561.avif
https://www.divinginasia.com/images/photo-1618865181016-a80ad83a06d3.avif
https://www.divinginasia.com/images/photo-1647825194145-2d94e259c745.avif
https://www.divinginasia.com/images/photo-1682686580849-3e7f67df4015.avif
https://www.divinginasia.com/images/photo-1682687982423-295485af248a.avif",,2026-03-27 15:18:53.136052+00,2026-03-28 12:47:09.516174+00
0cbf6ad4-5565-4878-a2a3-b4e81bfe68cc,home,nl,course_rescue_max_depth,text,30m,contact@prodiving.asia,2026-03-12 10:57:14.010608+00,2026-03-14 18:50:05.442579+00
0cdd9117-30be-41a8-884f-98d33ff644d6,contact,en,location_title,text,Location,contact@prodiving.asia,2026-03-12 14:31:13.936296+00,2026-04-06 04:40:49.337206+00
0ce02689-d114-42d7-803c-6574437788bb,idc,nl,course_overview,text,"translate Program Overview.The Instructor pathway trains experienced divers to teach and certify new divers. The IDC includes teaching presentations, student evaluations and practical teaching experience with support from experienced staff instructors.

Prerequisites
Prerequisite: PADI Divemaster (or equivalent), current EFR, and a minimum number of logged dives as required by PADI. Candidates must complete Instructor exams and assessments.

What you'll learn
Teaching and presentation skills
Course management and student evaluation
Risk management and leadership
Marketing and business development for instructors
Inclusions
IDC materials and PADI registration
Practical teaching sessions and mentoring
Exam preparation and exam fees (where applicable).
",,2026-03-28 13:10:40.754266+00,2026-03-28 13:14:49.524577+00
0d4e193b-224f-48e0-9d81-3d66aa4695d9,home,en,course_rescue_duration,text,3 days,contact@prodiving.asia,2026-03-12 10:01:50.741687+00,2026-03-16 18:01:39.262481+00
0d6a2fb6-b841-4b57-86b8-3e1c9b59915f,koh-tao-dive-sites,en,deep_title,text,Deep dive sites for advanced divers,seed-script,2026-03-28 14:03:22.715903+00,2026-03-28 14:03:22.715903+00
0d7b99ab-5c00-4805-9c7e-7c0a1e7391a0,dive-sites/chumphon-pinnacle,en,diving_tips,text,Advanced certification recommended due to depth and current Early morning departures maximize wildlife sightings Wide-angle photography lens recommended for large subjects Stay with your dive guide in moderate currents Perfect for deep diving specialty courses Whalesharks are most active during incoming tides Bring a good quality underwater camera,,2026-03-28 20:43:16.430069+00,2026-03-28 20:54:03.477122+00
0dd02144-940e-440d-861d-f8146318accb,japanese-gardens,en,what_you_can_see,text,"Pink Tailed Triggerfish
Ocellated Eagle Rays
Colorful Corals
Marbled Octopus",,2026-03-27 13:40:10.789117+00,2026-03-28 12:47:09.516174+00
0df78e69-5520-4c79-b458-2d45327da4d4,food-drink,nl,taste_title,text,Aanraders om te proeven,,2026-03-28 13:42:12.192138+00,2026-03-28 13:42:12.192138+00
0dfff36b-2cd3-4e93-a0c7-b70027927a15,medical-services,en,cta_travel_info,text,Travel information,,2026-03-28 13:46:34.702478+00,2026-03-28 13:46:34.702478+00
0e4051a0-92f9-49b3-837b-5edd3059bf42,home,en,course_instructor_title,text,PADI Instructor,contact@prodiving.asia,2026-03-12 10:01:50.741687+00,2026-03-16 18:01:39.262481+00
0e4782a1-72f3-4404-952c-22272137cd0c,htms-sattakut-test,en,quick_facts_location.,text,Between islands,,2026-03-27 13:40:10.789117+00,2026-04-07 18:03:34.571891+00
0ee5f50f-de10-4caf-a3cc-094d60ca5d38,instructor,nl,faq_3_a,text,"Absoluut. Na je instructeurscertificering kun je verder doorgroeien met pro-level trajecten zoals MSDT en meer, afhankelijk van je ervaring en doelen.",,2026-03-28 13:19:45.973231+00,2026-03-28 13:19:45.973231+00
0efb7de3-0606-452f-b9df-b3c73916ae3e,rescue,nl,main,text,"De Rescue Diver-cursus leert je duiknoodsituaties te voorkomen en te beheersen, reddingen uit te voeren en met vertrouwen als onderdeel van een duikteam te werken.",seed-script,2026-03-19 09:27:05.848954+00,2026-03-28 14:24:16.617176+00
0f08c70f-1e6e-455b-b7ec-aeabe0987318,skills-covered,en,skillscovered,text,,,2026-03-27 12:19:27.32903+00,2026-03-27 12:19:27.32903+00
0f34883e-6e8a-4d07-af1c-2811082ca7d0,sail-rock,nl,what_you_can_see,text,"Walvishaaien
Reuzenbarracuda
Malabar tandbaars
Zeilvis",,2026-03-27 13:40:10.789117+00,2026-03-28 12:47:09.516174+00
0f438398-09c3-4f9d-a7dd-eca81c95e718,open-water,nl,price_eur,text,290,contact@prodiving.asia,2026-03-12 14:50:04.862246+00,2026-03-19 09:07:24.603478+00
0f4e9385-d80a-4257-b493-6ba054705979,weather-koh-tao,en,climate_title,text,Climate & seasons,,2026-03-28 13:46:34.702478+00,2026-03-28 13:46:34.702478+00
102bda87-0ebb-4c52-88fa-e7b649bfba42,discover-scuba,en,section_2_title,text,What is included,seed-script,2026-03-28 14:22:37.204447+00,2026-03-28 16:44:59.316524+00
103cf350-bd43-4d95-b5bd-2accc8410575,skills-covered,nl,skillscovered,text,,,2026-03-28 13:10:40.754266+00,2026-03-28 13:10:40.754266+00
10531341-effe-40fd-806e-7b86984c5429,scuba-diver,nl,section_2_title,text,Cursusopbouw,seed-script,2026-03-28 14:22:37.204447+00,2026-03-28 14:24:16.326594+00
10e64cff-49d9-4632-8e25-dc4884b0961b,rescue,nl,price_eur,text,265,seed-script,2026-03-14 11:19:45.578131+00,2026-03-28 14:24:16.617176+00
116277c4-f5bf-42c7-b786-be802c0dacb9,twins-pinnacle,en,overview,text,"Twins Pinnacle is the most popular dive site on Koh Tao, featuring three granite pinnacles, abundant marine life, and suitable for all certification levels.",,2026-03-27 13:40:10.789117+00,2026-03-31 18:15:13.733654+00
12254160-0b57-4eff-a0bd-9dc4a1a76d73,scuba-diver,nl,hero_title,text,PADI Scuba Diver-cursus,seed-script,2026-03-12 14:55:52.765748+00,2026-03-28 14:24:15.888987+00
1258e780-4378-4e70-bd72-69d61a1b784b,scuba-diver,en,section_1_title,text,What you'll learn,seed-script,2026-03-28 14:22:36.581793+00,2026-03-28 14:24:15.888987+00
126230c8-bafa-4ea5-98a6-45a49cd2b443,koh-tao-dive-sites.,en,overview_text,text,"Koh Tao has over 25 excellent dive sites with varied topography and abundant marine life. Each site is unique and offers something different for every diver level, with enough variety to keep experienced divers engaged for weeks.",seed-script,2026-03-28 14:03:22.715903+00,2026-04-07 18:05:16.840014+00
12c01303-3b55-4748-9a0f-7c2d780f7784,contact,en,phone_line_1,text,+66 77 456 789,contact@prodiving.asia,2026-03-12 14:31:13.936296+00,2026-04-06 04:40:49.337206+00
133fbb2a-9020-4efb-a68f-fd3dacc3cf85,marine-life-page,nl,label_more,text,Meer info,seed-script,2026-03-28 14:15:08.842017+00,2026-03-28 14:15:08.842017+00
135056a7-4af4-4582-8062-c6fe175a75a8,pro-level-courses,nl,courses_list,text,"PADI Divemaster-cursus|/courses/divemaster
PADI Instructor-cursus|/courses/instructor
EFR Instructor-cursus
PADI MSDT-programma|/courses/msdt-program
IDC Staff Instructor
PADI IDC-schema
Instructor-specialties
AWARE Fish ID
Boot Instructor
Deep Instructor
DPV Instructor
Emergency O2 Provider
Equipment Instructor
Night Diving Instructor
Nitrox Instructor
Search & Recovery
Self Reliant Instructor
Sidemount Instructor
Underwater Naturalist
Underwater Navigator
Wreck Instructor
MSDT Instructor Specialty-cursussen Koh Tao - Sidemount",,2026-03-28 13:23:24.29037+00,2026-03-28 13:23:24.29037+00
1355cb37-6769-41d7-9be3-6bad109cfcdd,blacktip-reef-shark,en,frequency,text,Very common on shallow reefs,seed-script,2026-03-28 14:15:08.526272+00,2026-03-28 14:15:08.526272+00
13f319de-5212-4945-a874-ca75b3d901d5,koh-tao-dive-sites,nl,booking_text,text,Klaar om de geweldige duiklocaties van Koh Tao te ontdekken? Onze ervaren gidsen nemen je mee naar de beste plekken voor jouw niveau en interesses.,seed-script,2026-03-28 14:03:22.715903+00,2026-03-28 14:03:22.715903+00
14800687-fdc3-4c75-83dd-90da0742be4a,marine-life-page,nl,cta_courses,text,Bekijk cursussen,seed-script,2026-03-28 14:15:08.842017+00,2026-03-28 14:15:08.842017+00
14900645-ccd4-46f0-a36d-c0016d087415,advanced,nl,hero_title,text,PADI Advanced Open Water-cursus,seed-script,2026-03-19 11:03:35.689961+00,2026-03-28 14:24:15.888987+00
149ba278-5717-4bac-9e4a-687461e3bb96,pro-level-courses,nl,footer_title,text,Informatie / Boek een pro-cursus,,2026-03-28 13:23:24.29037+00,2026-03-28 13:23:24.29037+00
14a44422-451f-4b14-bbcf-8d9a4e2ed4b4,japanese-gardens,en,overview,text,"Japanese Gardens is a beautiful dive site near Koh Nang Yuan, known for its diverse coral reef and abundant marine life. Suitable for all levels.",,2026-03-27 13:40:10.789117+00,2026-03-28 12:47:09.516174+00
14c9b450-bca8-44dd-b7ff-d8fbee308fd2,advanced,nl,section_1_title,text,Wat je doet test,seed-script,2026-03-28 14:22:36.581793+00,2026-04-05 06:14:46.581415+00
14d39d8e-b530-4cf6-b1f1-7b3ca66081d9,shark-island,nl,marine_life_highlights,text,"Zwartpuntrifhaaien
Diverse rifvissen
Gorgoon-zeewaaiers
Zachte boomkoralen
Anthias
Papegaaivissen en lipvissen
Murenen
Naaktslakken en andere ongewervelden",,2026-03-27 13:40:10.789117+00,2026-03-28 12:47:09.516174+00
14d504a9-7cbb-4d8f-8025-ae9fe844bf3f,accommodation,nl,nights,text,Aantal nachten,,2026-03-27 11:51:48.105016+00,2026-03-28 20:56:02.462461+00
14f15813-8b99-4da0-b383-4afbbe90b805,hawksbill-sea-turtle,en,best_time,text,Year-round,seed-script,2026-03-28 14:15:08.526272+00,2026-03-28 14:15:08.526272+00
153d7421-6a50-4ed5-8768-867bb95d4258,dive-sites/south-west-pinnacle,en,what_you_can_see,text,,,2026-03-31 17:55:41.76794+00,2026-03-31 17:55:41.76794+00
15464b83-a304-420b-802e-ca70a6a5fe4a,marine-life-page,nl,reef_sharks,text,"Zwartpuntrifhaai|Veelvoorkomende rifhaaien met kenmerkende zwarte vinpunten, vaak jagend in ondiep water.|Tot 2m|Koraalriffen|Hele jaar|/marine-life/black-tip-reef-shark
Grijze rifhaai|Schuwere rifhaaien die dieper water verkiezen en minder vaak worden gezien.|Tot 2,5m|Diepe riffen|Hele jaar|",seed-script,2026-03-28 14:15:08.842017+00,2026-03-28 14:15:08.842017+00
15879881-e6ad-45aa-810b-846442c1ccc3,mango-bay,en,images,text,https://www.divinginasia.com/images/mango-bay.webp,,2026-03-27 16:24:21.72643+00,2026-03-28 12:47:09.516174+00
15de0039-4332-4c6a-8e70-e43a7251d8b1,green-sea-turtletest,en,diet,text,"Seagrass, algae, marine plants",seed-script,2026-03-28 14:15:08.09076+00,2026-04-05 08:13:53.01576+00
15effe06-b46a-4b4d-b50c-28273ecdb988,idc,nl,hero_title,text,Instructor Training,,2026-03-28 13:10:40.754266+00,2026-03-28 13:14:49.524577+00
1659a08b-6607-4926-8386-008455b30c8e,marine-life-pagetest,en,label_habitat,text,Habitat,seed-script,2026-03-28 14:15:08.526272+00,2026-04-05 08:09:43.889491+00
16bd2e40-40e1-4859-a6a3-8126582f542d,contact,en,follow_title,text,Follow Us,contact@prodiving.asia,2026-03-12 14:31:13.936296+00,2026-04-06 04:40:49.337206+00
171ddd3f-1315-4779-baf3-0dbeafee0be8,how-to-get-here,nl,tip,text,Tip: boek ferrytickets in het hoogseizoen op tijd. De meeste ferries komen aan bij Mae Haad Pier.,,2026-03-28 13:42:12.192138+00,2026-03-28 13:42:12.192138+00
17535187-e943-449f-b9f5-82aead486e78,discover-scuba,en,price_usd,text,72,seed-script,2026-03-27 10:52:08.104218+00,2026-03-28 16:44:59.316524+00
17b37fd0-ab5c-4f01-9943-f2b5c945697e,how-to-get-here,en,title,text,How to get to Koh Tao,,2026-03-28 13:42:12.192138+00,2026-04-05 06:36:08.960566+00
17b8d074-f634-4ded-ad0c-0db4b97c35e6,fun-diving,en,fun_diving_world_class_title,text,World-Class Dive Sites,,2026-03-27 12:57:03.657442+00,2026-03-27 12:57:03.657442+00
17bfae90-61c5-407e-a4b2-4f6e992fec53,home,nl,course_advanced_description,textarea,"Build confidence underwater, improve navigation, and unlock deeper dive adventures.Versterk je vertrouwen onderwater en verleg je grenzen.",contact@prodiving.asia,2026-03-12 10:57:14.010608+00,2026-03-14 18:50:05.442579+00
1800f65e-c4c7-483d-a2b7-bc298eec5fa9,instructor,nl,faq_2_q,text,Kan ik direct na de IDC als PADI-instructeur werken?,,2026-03-28 13:19:45.973231+00,2026-03-28 13:19:45.973231+00
18868f86-1be9-41c3-aecf-fb6ee4f281a1,main,en,contact,text,Your contact info here,,2026-03-19 09:30:15.75136+00,2026-03-19 09:30:15.75136+00
19b36262-d720-41a4-9b62-0e498297f534,weather-koh-tao,en,cta_plan_activities,text,Plan activities,,2026-03-28 13:46:34.702478+00,2026-03-28 13:46:34.702478+00
19be12c4-7e59-4c1f-8444-dc00649f0c03,specialty/night-diver,en,price_eur,text,172,contact@prodiving.asia,2026-03-12 10:27:14.506533+00,2026-03-12 10:27:41.009635+00
19d5ed8f-e9ba-437e-a7ea-45c4dba18396,discover-scuba,nl,section_1_title,text,Hoe werkt het?,seed-script,2026-03-28 14:22:37.204447+00,2026-03-28 14:24:16.326594+00
1a126263-84cf-4cb5-8e67-9aec50565b07,home,en,hero_primary_cta,text,Book Now,contact@prodiving.asia,2026-03-12 10:01:50.741687+00,2026-03-16 18:01:39.262481+00
1a847e95-7dca-4d58-823a-6abd9c0be8b0,fun-diving,en,fun_diving_trips_title,text,Trips & Programs,,2026-03-27 12:57:03.657442+00,2026-03-27 12:57:03.657442+00
1a86be35-585a-45d9-8309-166d8518e0a3,koh-tao-info,nl,highlights_title,text,Hoogtepunten van het eiland,,2026-03-28 13:31:13.441375+00,2026-03-28 13:31:13.441375+00
1abb690e-f452-46cc-b01b-bb3b4894a35d,scuba-diver,en,hero_title,text,PADI Scuba Diver Course,seed-script,2026-03-12 14:56:23.775431+00,2026-03-28 14:24:15.888987+00
1abf5a53-9d56-4cbe-8840-afce15e14266,discover-scuba,nl,course_overview,text,"Discover Scuba Diving is gemaakt voor niet-gecertificeerde duikers die veilig willen kennismaken met echt duiken onder begeleiding van een professionele instructeur. Je start met een korte briefing en basisvaardigheden in beschut water, daarna ga je naar ondiep open water.",seed-script,2026-03-28 13:10:40.754266+00,2026-03-28 14:24:16.326594+00
1b1a053c-14af-4a5e-8d85-e254c554d2de,contact,nl,subject_option_4,text,Algemene vragen,contact@prodiving.asia,2026-03-12 13:34:35.256812+00,2026-03-14 18:57:12.645596+00
1b939feb-cccc-4c10-8feb-cbe4a6a69b05,rescue,nl,course_overview,text,"De Rescue Diver-cursus leert je duiknoodsituaties te voorkomen en te beheersen, reddingen uit te voeren en met vertrouwen als onderdeel van een duikteam te werken.",seed-script,2026-03-14 11:19:45.578131+00,2026-03-28 14:24:16.617176+00
1b9b1a98-9c6b-48a8-a89f-306217802878,blacktip-reef-shark,nl,size,text,"Tot 2m (6,5ft), 13kg",seed-script,2026-03-28 14:15:08.526272+00,2026-03-28 14:15:08.526272+00
1bcc5c9d-2c41-43d5-8d4d-c9622f86d451,weather-koh-tao,nl,paragraph,text,"De meeste activiteiten zijn het hele jaar mogelijk, maar controleer de voorspelling voordat je een boottrip plant. Het droge seizoen biedt meestal de beste duikomstandigheden met kalme zee en goed zicht.",,2026-03-28 13:46:34.702478+00,2026-03-28 13:46:34.702478+00
1c4f161e-af4f-42ed-8690-681a0e0ec499,food-drink,nl,intro,text,"Probeer lokale favorieten zoals Pad Thai, Som Tam en vers gegrilde vis. Op Koh Tao vind je alles: van eenvoudige strandtentjes tot luxe restaurants.",,2026-03-28 13:42:12.192138+00,2026-03-28 13:42:12.192138+00
1d70ebab-c491-49e3-a73f-487e3cf4a9b4,accommodation,nl,featuresTitle,text,Wat je kunt verwachten,,2026-03-27 11:51:48.105016+00,2026-03-28 20:56:02.462461+00
